,target,ConstrPattern
404,бродить 1.3,Snom V по + Sdat
405,бродить 1.4,Snom V PRоткуда + Sx PRкуда + Sy
406,бродить 2.1,Snom V по + Sdat
407,бродить 2.2,Snom V в + Sloc
408,бродить 2.3,Snom V {по + Sdat / в + Sloc} у + Sgen
409,бродить 3.1,Snom V
410,бросать 1.1,Snom V Sacc
411,бросать 1.2,Snom V Sacc {ADV / PRоткуда + Sx} [Sdat]
412,бросать 1.3,Snom V Sacc {ADV / PRкуда + Sx}
413,бросать 1.4,Snom V Sacc Sdat
414,бросать 1.5,Snom V Sins в + Sacc
415,бросать 2.1,Snom V Sacc
416,бросать 2.2,Snom V Sacc {ADV / PRкуда + Sx}
417,бросать 2.3,Snom V Sacc {ADV / PRгде + Sx}
418,бросать 3.1,Snom V Sacc
419,бросать 3.2,Snom V Sacc в + Sacc
420,бросать 4.1,Snom V Sacc
421,бросать 4.2,Snom V Sacc на + Sacc
422,бросать 5.1,Snom V Sacc {ADV / PRкуда + Sx}
423,бросать 6.1,Snom V Sacc
424,бросать 6.2,Snom V Vinf
425,бросать 7.1,Snom V Sacc
426,бросать 8.1,Snom V Sacc {ADV / PRкуда + Sx}
427,бросать 8.2,Snom V Sacc на + Sacc
428,бросать 9.1,Snom V Sacc
429,бросать 9.2,Snom V «CL»
430,бросать 9.3,Snom V {Sacc / «CL»} Sdat
431,бросать 9.4,Snom V Sacc Sdat в + Sacc
432,бросать 10.1,Sacc Vimpers
433,бросать 10.2,Sacc Vimpers {ADV / PRкуда + Sx}
434,бросать 10.3,Sacc Vimpers по + Sdat
435,бросать 10.4,Sacc Vimpers PRоткуда + Sx PRкуда + Sy
436,бросать 11.1,Sacc Vimpers в + Sacc
437,бросать 11.2,Sacc Vimpers в + Sacc от + Sgen
438,бросаться 1.1,Snom V Sins
439,бросаться 1.2,Snom V Sins в + Sacc
440,бросаться 2.1 перен. людьми,Snom V Sins
441,бросаться 3.1 'побежать',Snom V {ADV / PRоткуда + Sx}
442,бросаться 3.2 'побежать',Snom V {ADV / PRкуда + Sx}
443,бросаться 3.3 'побежать',Snom V PRтраект + Sx
444,бросаться 3.4 'побежать',Snom V на + Sacc
445,бросаться 3.5 'побежать',Snom V Vinf
446,бросаться 4.1 из окна,Snom V {ADV / PRоткуда + Sx}
447,бросаться 4.2 упасть,Snom V {ADV / PRкуда + Sx}
448,бросаться 5.1 в драку,Snom V на + Sacc
449,бросаться 5.2 напасть,Snom V на + Sacc Sdat
450,бросаться 6.1 в объятья,Snom V в + Sacc
451,бросаться 6.2 в объятья,Snom V {в + Sacc / на + Sacc} Sdat
452,брызгать 1.1,Snom V Sacc PRкуда + Sx
453,брызгать 1.2,Snom V Sins PRкуда + Sx
454,брызгать 2.1 (субъект - жидкость),Snom V
455,брызгать 2.2 (субъект - жидкость),Snom V {ADV / PRоткуда + Sx}
456,брызгать 2.3 (субъект - жидкость),Snom V {ADV / PRкуда + Sx}
457,брызгать 2.4 (субъект - жидкость),Snom V Sins
458,брызгать 3.1,Snom V
459,брызгать 3.2,Snom V Sins
460,брызгать 4.1 (об эмоции),Snom V из + Sgen
461,брызгать 4.2 (об эмоции),Snom V в + Sloc
462,будить 1.1,Snom V Sacc
463,будить 2.1,Snom V Sacc
464,будить 2.2,Snom V Sacc у + Sgen
465,будить 2.3,Snom V Sacc в + Sloc
466,бунтовать 1.1,Snom V
467,бунтовать 1.2,Snom V против + Sgen
468,бунтовать 2.1 (о погоде),Snom V
469,бунтовать 2.2 (о погоде),Snom V PRгде + Sx
470,бывать 1.1 'посещать',Snom V {ADV / PRгде + Sx}
471,бывать 2.1 'случаться',Snom V
472,бывать 2.2 'случаться',Vimpers что + CL
473,бывать 2.3 'случаться',Vimpers ADV
474,бывать 2.4 'случаться',Vimpers CL
475,бывать 2.5 'случаться',Snom V {ADV / PRгде + Sx}
476,бывать 2.6 'случаться',Snom V у + Sgen
477,бывать 2.7 'случаться',Snom V с + Sins
478,бывать 3.1,Snom V {Anom / Ains / Abrev / Acomp}
479,бывать 3.2,Snom V PRгде + Sx
480,бывать 4.1 (идиом.) не бывать!,Sdat не Vinf
481,бывать 4.2 (идиом.) не бывать!,Sdat не Vinf Sins
482,быть 1.1,Snom V {ADV / PRгде + Sx}
483,быть 1.2,Snom V PR + Sx
484,быть 2.1,Snom V
485,быть 2.2,Snom V {ADV / PRгде + Sx}
486,быть 2.3,Snom V у + Sgen
487,быть 2.4,Snom V с + Sins
488,быть 2.5,{Sacc / у + Sgen} V Rel + CL
489,быть 3.1,Snom V ADV
490,быть 3.2,Snom V {Anom / Abrev / Acomp}
491,быть 3.3,Snom V Ains
492,быть 3.4,Snom V Snom
493,быть 3.5,Snom V PR + Sx
494,высокого роста,S [V] Agen роста
495,быть 3.7,Snom V Sins
496,быть 3.8,с + Sins Vimpers PRAEDIC
497,быть 4.1,Snom V Snom
498,быть 5.1,Sdat Vinf
499,быть 5.2,Sdat Vinf Sins
500,быть 6.1,будет с + Sgen
501,валить1 1.1 (о человеке - столб),Snom V Sacc
